Label,Type,CLO_C,CLO_M,CL_C,CL_M,UBERON_C,UBERON_M,BTO_C,BTO_M
HUVECs_TNF0min,CL,CLO_0004307,CLO_0000024,CL_0002618,CL_0000235,UBERON_0002331,UBERON_0000024,BTO_0001949,BTO_0000035
NB69,CL,CLO_0050263,CLO_0050263,CL_0000031,-,UBERON_0000955,-,BTO_0005426,-
Brain Germinal Matrix,A,-,-,CL_0002319,-,UBERON_0000955,UBERON_0000955,-,BTO_0000142
Macrophages_GM-CSF_72h,CT,-,-,CL_0000235,-,UBERON_0000178,UBERON_0001359,BTO_0000801,-
PATU8988S_GFP_DOX,CL,CLO_0008383,CLO_0000053,CL_0000083,CL_0000001,UBERON_0001264,UBERON_0000468,BTO_0005191,BTO_0000290
paracentral gyrus adult pool1,A,-,-,CL_0002319,-,UBERON_0007190,UBERON_0007190,BTO_0005601,BTO_0001043
COLO320-DM_DMSO,CL,CLO_0002571,CLO_0000123,CL_0011108,CL_0000123,UBERON_0001155,UBERON_0000123,BTO_0002047,BTO_0000123
Th2,CT,-,CLO_0000001,CL_0000546,CL_0000001,UBERON_0002405,UBERON_0000002,BTO_0001679,-
Glioblastoma neurosphere cell_HF-3016,CT,-,CLO_0000000,CL_0000125,CL_0000000,UBERON_0001017,UBERON_0000000,BTO_0001530,BTO_0000000
NHEK-Epidermal_Keratinocytes,CT,-,CLO_0000022,CL_0000312,CL_0000066,UBERON_0001003,UBERON_0001000,BTO_0003182,BTO_0000130
Ik6pre-BALL+TET-emptyvector,CT,-,CLO_0000000,CL_0000988,CL_0000000,UBERON_0000178,UBERON_2000006,-,-
gm12891,CL,CLO_0022859,CLO_0022859,CL_0000236,-,UBERON_0000178,-,-,-
293Trex_B4Nflag_7h,CL,CLO_0037238,CLO_0000075,CL_0002518,CL_0000002,UBERON_0002113,UBERON_0000462,BTO_0005238,BTO_0000342
NH-A astrocyte,CT,-,-,CL_0000127,CL_0000127,UBERON_0001017,-,BTO_0000099,BTO_0000099
PANC1_2,CL,CLO_0008381,CLO_0000013,CL_0000169,CL_0000001,UBERON_0001264,UBERON_0000100,BTO_0000304,BTO_0000002
CHL-1,CL,CLO_0002420,CLO_0002420,CL_2000000,-,UBERON_0001003,-,BTO_0004061,-
Renal Proximal Tubular Epithelial Cell donor2,CT,-,-,CL_0002306,CL_0000066,UBERON_0008404,-,BTO_0006154,BTO_0000414
cervical-cancer_KDM5C,CT,-,CLO_0000000,CL_0002535,CL_0000000,UBERON_0000002,UBERON_0000022,-,BTO_0000074
hESC-1_Embryonic_stem_cells_WNT3A,CL,CLO_0037281,CLO_0037280,CL_0002322,-,UBERON_0000922,-,BTO_0006080,BTO_0001300
FLP76,CL,-,CLO_0000056,CL_1000497,CL_0000234,UBERON_0002113,UBERON_0000952,-,BTO_0000123
Bone_Marrow_Derived_Mesenchymal_Stem_Cell_Cultured_Cells,CT,-,-,CL_0002540,CL_0000000,UBERON_0002371,UBERON_0002481,-,BTO_0000829
ILC1,CT,-,CLO_0000000,CL_0001067,CL_0001068,UBERON_0002405,UBERON_0000000,-,-
Naive_Treg,CT,-,-,CL_0002677,CL_0000815,UBERON_0002370,-,-,-
Lung cancer-derived Cell Lines,CT,-,-,CL_0000082,CL_0000000,UBERON_0002048,UBERON_0002048,BTO_0000762,BTO_0000763
iPS-15b,CL,-,CLO_0000001,CL_0002248,CL_0000002,-,UBERON_0000003,-,BTO_0000004
"CD8-positive, alpha-beta T cell",CT,-,-,CL_0000625,CL_0000625,UBERON_0002405,-,BTO_0000289,BTO_0000782
MPNST007_PRC2 WT,CT,-,CLO_0000012,-,-,UBERON_0001021,UBERON_0000100,BTO_0005316,-
Excitatory_neur_cerebrum_6,CT,-,-,CL_0000540,-,UBERON_0000955,UBERON_0001869,-,BTO_0000239
V457,-,-,CLO_0000073,CL_0011108,CL_0000000,UBERON_0001155,UBERON_0000467,-,BTO_0000000
Club-A,CT,-,CLO_0000001,CL_0000158,CL_0000001,UBERON_0002048,UBERON_0000002,-,BTO_0000003
MKN28,CL,CLO_0037142,CLO_0037142,CL_0002178,-,UBERON_0000945,-,BTO_0002381,-
MCF10A_low,CL,CLO_0007599,CLO_0007599,CL_0002327,-,UBERON_0000310,-,BTO_0001939,-
fibroblast_of_pulmonary_artery,CT,-,-,CL_0002557,CL_0000057,UBERON_0002012,UBERON_0001637,-,BTO_0000452
GMP_BM1214,CT,-,-,CL_0000557,CL_0000557,UBERON_0002371,-,-,-
body-of-pancreas,A,-,-,CL_0000083,-,UBERON_0001150,UBERON_0001264,-,BTO_0000988
Glioblastoma Cell Lines,CT,-,-,CL_0000125,CL_0000000,UBERON_0001017,-,BTO_0001530,BTO_0000527
RPMI-8402_T_acute_lymphoblastic_leukemia,CL,CLO_0009857,CLO_0009857,CL_0000084,-,UBERON_0000178,UBERON_0000061,BTO_0001880,BTO_0000206
Kelly_shB4_Res,CL,CLO_0007091,CLO_0007091,CL_0000031,-,UBERON_0000955,UBERON_0000363,BTO_0006213,-
CD4_TH1_DMSO,CT,-,-,CL_0000545,-,UBERON_0002405,UBERON_0000064,BTO_0001678,-
LS174T_colon_adenocarcinoma_BI8622,CL,CLO_0007403,CLO_0007403,CL_0011108,-,UBERON_0001155,UBERON_0001155,BTO_0001553,BTO_0000269
ME-1_DMSO_6h,CL,CLO_0009847,CLO_0009847,CL_0000763,-,UBERON_0000178,-,-,-
Esophagus,A,-,-,CL_0002252,-,UBERON_0001043,UBERON_0001043,BTO_0000959,BTO_0000959
Fetal intestine large,A,-,-,CL_0002253,-,UBERON_0000059,UBERON_0000160,BTO_0000706,BTO_0000648
HSMM Skeletal Muscle Myoblasts Cells,CL,CLO_0000809,-,CL_0000056,-,UBERON_0005090,UBERON_0014892,-,BTO_0001103
GM18486,CL,CLO_0024943,CLO_0024943,CL_0000236,-,UBERON_0000178,-,-,-
GLC16,CL,-,CLO_0000077,CL_0000082,CL_0000002,UBERON_0002048,UBERON_0000460,-,BTO_0000082
Fibroblast - skin spinal muscular atrophy donor2,CT,-,CL_0000057,CL_0002620,-,UBERON_0001003,UBERON_0002097,BTO_0001255,BTO_0001253
Neural Crest Cells,CT,-, -,CL_0011012,-,UBERON_0002342,UBERON_0002342,BTO_0003825,BTO_0001764 
hESC,CL,CLO_0037280,CLO_0037280,CL_0002322,-,UBERON_0000922,-,BTO_0001086,-
CLB-BER-Lud,CL,-,CLO_0000040,CL_0000031,CL_0000001,UBERON_0001016,UBERON_0000468,-,BTO_0000012
Endothelial Cells - Lymphatic donor1,CT,-,CLO_0000093,CL_0002138,CL_0000066,UBERON_0001473,UBERON_0002048,BTO_0004167,BTO_0000240
Stromal_placenta_4,CT,-,-,CL_0000499,-,UBERON_0001987,UBERON_0001987,-,BTO_0001078
NUT,CL,-,CLO_0000140,CL_0000015,CL_0000003,UBERON_0000473,UBERON_0000466,-,BTO_0000072
Syn_vil_cytoTrophobs_placenta_1,CT,-,-,CL_0000034,-,UBERON_0001987,UBERON_0001987,-,BTO_0001078
GM18526,CL,CLO_0024847,CLO_0024847,CL_0000236,-,UBERON_0000178,-,-,-
IMR90_#2,CL,CLO_0006951,CLO_0006951,CL_0002553,-,UBERON_0002048,-,BTO_0001229,-
HFF-Myc,CL,-,CLO_0000001,CL_1001608,CL_0000002,UBERON_0001332,UBERON_0000003,-,BTO_0000004
Fibrob_BCC,CT,-,CLO_0000010,CL_0000057,CL_0000025,UBERON_0002384,UBERON_0000955,BTO_0000452,BTO_0000050
BT-474_breast_invasive_ductal_carcinoma_EGF,CL,CLO_0002042,CLO_0002042,CL_0002327,-,UBERON_0000310,UBERON_0000310,BTO_0001932,BTO_0000149
induced pluripotent stem cell derived Neuronal progenitor cell,CT,-,CL_0011026,CL_0011020,-,UBERON_0001016,-,-,BTO_0006078
HUVEC umbilical vein endothelial,CL,CLO_0004307,CLO_0004307,CL_0002618,-,UBERON_0002331,UBERON_0002066,BTO_0001949,BTO_0001949
SK-MEL-239,CL,-,CLO_0000034,CL_0000148,CL_0000003,-,UBERON_0000460,-,BTO_0000272
MCF10CA1a,CL,CLO_0007599,CLO_0000040,CL_0002327,CL_0000003,UBERON_0000310,UBERON_0000955,-,BTO_0000040
ovary adult pool1,A,-,-,-,-,UBERON_0000992,UBERON_0000992,BTO_0000975,BTO_0000975
LY4,CL,-,CLO_0000050,CL_0000236,CL_0000242,UBERON_0000178,UBERON_0002035,-,BTO_0000067
Endothelial Cells - Aortic donor3,CT,-,CLO_0000026,CL_0002544,CL_0000236,UBERON_0000947,UBERON_0001003,BTO_0003245,BTO_0000074
Th17-IL-10- Day 5,CT,-,CLO_0000097,CL_0000899,CL_0000235,UBERON_0002405,UBERON_0000465,BTO_0005655,BTO_0000053
adult CD4+CD25hiCD127lo regulatory T cells,CT,-,BTO_0001043,CL_0000815,-,UBERON_0002405,UBERON_0007023,-,-
MALME-3,CL,CLO_0007528,CLO_0007528,CL_0002620,-,UBERON_0001003,-,BTO_0004161,-
HUES48 Cells,CL,-,CLO_0000020,CL_0002322,CL_0000010,UBERON_0000922,UBERON_0000460,-,BTO_0000140
GM12873_female_B-cells,CL,CLO_0022835,CLO_0022835,CL_0000236,-,UBERON_0000178,UBERON_0003100,-,-
Brain_Substantia_Nigra,A,-,-,CL_0002614,-,UBERON_0002038,UBERON_0000955,BTO_0000143,BTO_0000142
Capan1-untreated,CL,CLO_0002197,CLO_0000020,CL_0002079,CL_0000001,UBERON_0000017,UBERON_0000002,BTO_0002744,BTO_0000003
H1 hESC-derived neural progenitor cells_Smad_72hr,CL,-,CLO_0037280,CL_0011020,-,UBERON_0000922,UBERON_0000062,-,-
T47D_invasive_ductal_carcinoma_E2,CL,CLO_0009251,CLO_0009922,CL_0002327,-,UBERON_0000310,UBERON_0000064,BTO_0001248,BTO_0000349
thymocyte,CT,-,-,CL_0000893,CL_0000893,UBERON_0002370,-,BTO_0001372,BTO_0001372
LTAD_long_term_androgen_deprivation,-,-,CLO_0000000,-,CL_0000000,-,UBERON_0000000,-,BTO_0000000
HUDEP-2_BCL11AKO,CL,-,CLO_0000244,CL_0000038,CL_0000220,UBERON_0012168,UBERON_0000465,-,BTO_0000302
Whole blood (ribopure) donor090612 donation2,A,-,-,CL_0000988,-,UBERON_0000178,UBERON_0000178,-,BTO_0000089
DIPGIV,CT,-,CLO_0000026,CL_0000125,CL_0000001,UBERON_0000955,UBERON_0000463,-,BTO_0000130
Pro-B,CT,-,CLO_0000074,CL_0000826,CL_0000123,UBERON_0002371,UBERON_0001000,BTO_0003104,BTO_0000040
dermal_fibroblasts,CT,-,CLO_0000040,CL_0002551,CL_0000066,UBERON_0002067,UBERON_0001008,BTO_0004419,BTO_0000301
retina,A,-,-,CL_0009004,-,UBERON_0000966,UBERON_0000966,BTO_0001175,BTO_0001175
Brain_Putamen_basal_ganglia,A,-,-,CL_0002319,-,UBERON_0002420,UBERON_0001874,-,BTO_0000212
MALME3,CL,CLO_0007528,CLO_0000010,CL_0002620,CL_0000001,UBERON_0001003,UBERON_0000020,BTO_0004161,BTO_0000030
TTC549_Doxycycline,CL,-,CLO_0000027,-,-,UBERON_0002107,UBERON_0000060,-,BTO_0000029
GM12878 ENCODE,CL,CLO_0022851,CLO_0022851,CL_0000236,-,UBERON_0000178,UBERON_0000000,BTO_0006353,-
CA-46_Burkitt_lymphoma,CL,CLO_0002168,CLO_0000000,CL_0000236,CL_0000000,UBERON_0000178,UBERON_0000020,BTO_0000789,BTO_0000249
LREX,CL,-,CLO_0000001,CL_0002231,CL_0000002,UBERON_0002367,UBERON_0000003,-,BTO_0000004
C4-2B_vehicle_24h,CL,CLO_0037116,CLO_0000056,CL_0002231,CL_0000002,UBERON_0002367,UBERON_0000955,BTO_0004959,BTO_0000001
Endothelial Cells - Umbilical vein donor3,CT,-,-,CL_0002618,-,UBERON_0002066,UBERON_0002066,BTO_0004296,BTO_0001509
MM001_Primary_Melanoma,CT,-,CLO_0000010,CL_0000148,CL_0000012,UBERON_0001003,UBERON_0002100,-,BTO_0000005
TSU-1621-MT_adult_acute_myeloid_leukemia_ATRA,CL,-,CLO_0000000,CL_0000763,-,UBERON_0000178,UBERON_0007023,-,BTO_0001043
NCR-G1,CL,CLO_0051395,CLO_0051395,CL_0000015,-,UBERON_0000473,-,-,-
muscle_of_leg,A,-,-,CL_0000737,-,UBERON_0001383,UBERON_0003823,-,BTO_0000721
MCF-7_10Gygamma_5h,CL,CLO_0007606,CLO_0007605,CL_0002327,-,UBERON_0000310,UBERON_0002048,BTO_0000093,-
GBM35,CT,CLO_0003456,CLO_0000028,CL_0000125,CL_0000132,UBERON_0000955,UBERON_0000465,-,BTO_0000056
Myeloid_liver_3,CT,-,-,CL_0000763,-,UBERON_0002107,UBERON_0002107,BTO_0000906,BTO_0000759
HIT DH5A cells (RBC),-,-,-,-,CL_0000232,-,-,-,BTO_0000424
Inhib_neur_cerebrum_2,CT,-, -,CL_0000540,-,UBERON_0000955,UBERON_0001869,-,BTO_0000239 
fetal_prostate_fibroblasts,CT,-,-,CL_1000299,-,UBERON_0015130,UBERON_0002367,-,BTO_0001129
22rv1-arvs,CL,CLO_0001200,CLO_0001199,CL_0002231,-,UBERON_0002367,-,BTO_0002999,-
Primary haematopoietic stem cells (HSCs),CT,-,CLO_0000000,CL_0000037,CL_0000000,UBERON_0002371,UBERON_0000010,BTO_0000725,BTO_0001300
H9_Cell_Line,CL,CLO_0003612,CL_0000000,CL_0000084,-,UBERON_0000178,UBERON_0000062,BTO_0001944,-
SF268,CL,CLO_0009902,CLO_0009902,CL_0000127,-,UBERON_0000955,-,BTO_0003772,-
IMR-5_Neuroblastoma,CL,CLO_0006950,CLO_0006950,CL_0000031,-,UBERON_0000955,UBERON_0002221,BTO_0005846,BTO_0000185
Fetal_Kidney,A,-,CLO_0000000,CL_1000497,-,UBERON_0002113,UBERON_0002113,BTO_0000671,BTO_0000671
HUVEC_Notch1kd_IL1beta,CL,CLO_0004307,CLO_0004307,CL_0002618,-,UBERON_0002331,-,BTO_0001949,BTO_0001949
PFSK-1,CL,CLO_0008425,CLO_0008425,CL_0000057,-,UBERON_0000955,-,-,-
NCI-H2171 cells,CL,CLO_0008060,CLO_0008060,CL_0000082,-,UBERON_0002048,-,BTO_0005978,-
EM CD4+ ab T (PB),CT,-,CLO_0000000,CL_0000624,CL_0000000,UBERON_0000178,UBERON_0000000,-,BTO_0000000
TEX-HIST1H3F-K27I-2-Rx_cells,CL,-,CLO_0000040,CL_0000034,CL_0000000,UBERON_0002371,UBERON_0000465,BTO_0006359,BTO_0000010
hippocampus - adult donor10196,A,-,-,CL_0002319,-,UBERON_0000955,UBERON_0000601,BTO_0000601,BTO_0000601
CAL51,CL,CLO_0002185,CLO_0000001,CL_0002327,CL_0000002,UBERON_0000310,UBERON_0000003,BTO_0000945,BTO_0000004
HEK293-FT,CL,CLO_0037237,CLO_0001230,CL_0002518,-,UBERON_0002113,-,BTO_0005029,-
colon fetal donor1,A,-,-,CL_0011108,-,UBERON_0001155,UBERON_0001155,BTO_0000269,BTO_0000269
Adrenocortical_adrenal_3,CT,-,-,CL_0002097,-,UBERON_0002369,UBERON_0002369,BTO_0005817,BTO_0000047
LY1,CL,-,CLO_0000001,CL_0000236,CL_0000002,UBERON_0000178,UBERON_0000003,-,BTO_0000004
Myeloid_adrenal,CT,-,-,CL_0000763,-,UBERON_0002369,UBERON_0002369,BTO_0000906,BTO_0000047
Endothelial Cells - Vein donor2,CT,-,-,CL_0002543,-,UBERON_0001638,UBERON_0001638,-,BTO_0000234
FL16,CL,-,CLO_0000123,CL_0000236,CL_0000123,UBERON_0000029,UBERON_0000123,-,BTO_0000123
Bone marrow derived hMSC_d0,CT,-,-,CL_0002540,-,UBERON_0002371,UBERON_0002371,-,BTO_0000141
429_Tumor_H3.3K27WT,-,-,CLO_0000001,-,CL_0000002,UBERON_0000955,UBERON_0000003,-,BTO_0000004
SGBS,CT,-,CLO_0000028,CL_0000499,CL_0000010,UBERON_0001013,UBERON_0000462,-,BTO_0000034
mesenchymal stem cell line:Hu5/E18,CL,-,CLO_0000031,CL_0008019,CL_0000134,UBERON_0003104,-,-,BTO_0003298
carcinoid cell line:NCI-H1770,CL,CLO_0008017,CLO_0008017,CL_1000223,CL_0000000,UBERON_0002048,-,-,BTO_0000729
MCC26_virus_negative,CL,-,CLO_0000010,CL_0000242,CL_0000001,UBERON_0001003,UBERON_0000100,-,BTO_0000005
HS-SY-2,CL,CLO_0050072,CLO_0000001,CL_0000214,CL_0000002,UBERON_0003668,UBERON_0000003,BTO_0006086,BTO_0000004
Crc Cell,CT,-,-,CL_0011108,CL_0000000,UBERON_0012652,-,BTO_0001615,BTO_0001615
LNCaP_prostate_carcinoma_RPMIFBS,CL,CLO_0007365,CLO_0007365,CL_0002231,-,UBERON_0002367,UBERON_0002367,BTO_0001321,BTO_0001129
MCF7L-TamRimmortalized_breast_epithelial_tamoxifen_resistant_cell_line,CL,-,-,CL_0002327,CL_0000066,UBERON_0000310,UBERON_0000310,-,BTO_0000149
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CL,CLO_0009348,CLO_0009348,CL_0000576,CL_0000000,UBERON_0000178,-,BTO_0001370,-
Arteries_C,A,-,-,-,-,UBERON_0001637,UBERON_0001637,BTO_0000573,-
left ventricle 3y,A,-,-,CL_0002494,-,UBERON_0002084,UBERON_0002084,BTO_0001629,BTO_0001629
NCI-H2009,CL,CLO_0008038,CLO_0008038,CL_0000082,-,UBERON_0002048,-,BTO_0003242,-
spleen,A,-,-,-,-,UBERON_0002106,UBERON_0002106,BTO_0001281,BTO_0001281
Renal Glomerular Endothelial Cells donor2,CT,-,CLO_0000042,CL_0002188,CL_0000235,UBERON_0004212,UBERON_0000022,BTO_0004632,BTO_0000065
Aska-BAF47KO1 shCt,-,-,CLO_0000072,CL_0000214,CL_0000000,UBERON_0004905,UBERON_0000468,-,BTO_0000360
SK-N-BE,CL,-,CLO_0000100,CL_0000031,CL_0000003,UBERON_0000955,UBERON_0000473,-,BTO_0000190
round spermatids,CT,-,-,CL_0000018,-,UBERON_0000473,UBERON_0001014,BTO_0001274,-
OSK,-,-,CLO_0000071,-,CL_0000121,-,UBERON_0001015,-,BTO_0000145
H3.3K27M-KO_DIPGXIII-c10p5-Rx_R2_cells,-,-,CLO_0000052,-,CL_0000066,UBERON_0000955,UBERON_0000465,-,BTO_0000132
GM10861_female_B-cells,CL,CLO_0024094,CLO_0024094,CL_0000236,-,UBERON_0000178,UBERON_0003100,-,-
Smooth Muscle Cells - Umbilical Artery donor3,CT,-,-,CL_0002594,-,UBERON_0012615,UBERON_0001135,-,BTO_0000841
HCC70,CL,CLO_0003658,CLO_0003658,CL_0002327,-,UBERON_0000310,-,BTO_0005963,-
SK-BR-3_breast_adenocarcinoma,CL,CLO_0009034,CLO_0009034,CL_0002327,-,UBERON_0000310,UBERON_0000310,BTO_0002419,BTO_0000149
HEK293_embryonic_kidney,CL,CLO_0001230,CLO_0037237,CL_0002518,-,UBERON_0002113,UBERON_0002113,BTO_0000007,BTO_0000671
IMS-M2,CL,-,CLO_0000001,CL_0000763,CL_0000002,UBERON_0000178,UBERON_0000003,-,BTO_0000004
LTED_breast_cancer,CT,-,-,CL_0002327,-,UBERON_0000310,UBERON_0000310,-,BTO_0000149
22rv1,CL,CLO_0001200,CLO_0001199,CL_0002231,-,UBERON_0002367,-,BTO_0002999,-
MCF10A-ER-Src,CL,CLO_0037240,CLO_0007599,CL_0002327,-,UBERON_0000310,-,-,-
Foreskin melanocyte,CT,-,CL_2000045,CL_2000045,CL_2000045,UBERON_0001332,UBERON_0001332,BTO_0005457,BTO_0000847
Kelly_vehicle,CL,CLO_0007091,CLO_0007091,CL_0000031,-,UBERON_0000955,-,BTO_0006213,-
Monomac6_CTRL,CL,CLO_0007828,CLO_0000001,CL_0000576,CL_0000002,UBERON_0000178,UBERON_0000003,BTO_0002333,BTO_0000004
osteosarcoma cell line:HS-Os-1,CL,CLO_0050022,CLO_0050022,CL_0000062,-,UBERON_0000976,-,-,BTO_0000407
7250-empty,-,-,CLO_0000130,-,CL_0000000,UBERON_0001134,UBERON_0000060,-,BTO_0000032
MyoFibrob_B,CT,-,CLO_0000010,CL_0000186,CL_0000015,UBERON_0002384,UBERON_0000460,BTO_0001946,BTO_0000220
Caudate_nucleus,A,-,-,CL_0002319,-,UBERON_0001873,UBERON_0000125,BTO_0000211,-
NT2,-,-,CLO_0000001,-,CL_0000002,-,UBERON_0000003,-,BTO_0000004
primary-glioblastoma,CT,-,CLO_0000000,CL_0000125,CL_0000000,UBERON_0001017,UBERON_0000022,BTO_0001530,BTO_0000000
squamous cell carcinoma cell line:EC-GI-10,CL,CLO_0051378,CLO_0051378,CL_0000076,CL_0000000,UBERON_0001043,-,BTO_0002861,BTO_0002024
Capillary_1_E,CT,-, -,CL_0002144,-,UBERON_0001915,UBERON_0001982,BTO_0004956,BTO_0002045 
NA-A_astrocytes,-,-,CLO_0000020,CL_0000127,CL_0000230,UBERON_0001017,UBERON_0002392,-,BTO_0000052
FX52 iPSCs dC-T,CT,-,CLO_0000056,CL_0002248,CL_0000319,-,UBERON_0001003,-,BTO_0000155
MSTO,CL,CLO_0007880,CLO_0000001,CL_0000077,CL_0000002,UBERON_0001136,UBERON_0000003,BTO_0002425,BTO_0000004
DMS 144,CL,-,CLO_0000010,CL_0000082,CL_0000001,UBERON_0002048,UBERON_0000100,-,BTO_0000005
LCL_lymphoblastoid_cell_line_ETOH,CT,-,CL_0000001,CL_0017005,CL_0000001,UBERON_0000178,-,BTO_0000773,-
GM12004,CL,CLO_0020480,CLO_0020480,CL_0000236,-,UBERON_0000178,-,-,-
Human Embryos,CT,-,CLO_0000000,CL_0002321,CL_0000000,UBERON_0000922,UBERON_0000038,BTO_0000379,BTO_0000120
